ArticleType,Abstract 
Article,"The role of automation in sustainable development is not in doubt. Computerization in particular has permeated every facet of human endeavour, enhancing the provision of information for decision-making that reduces cost of operation, promotes productivity and socioeconomic prosperity and cohesion. Hence, a new field called information and communication technology for development (ICT4D) has emerged. Nonetheless, the need to ensure environmentally friendly computing has led to this research study with particular focus on green computing in Africa. This is against the backdrop that the continent is feared to suffer most from the vulnerability of climate change and the impact of environmental risk. Using Nigeria as a test case, this paper gauges the green computing awareness level of Africans via sample survey. It also attempts to institutionalize green computing maturity model with a view to optimizing the level of citizens awareness amid inherent uncertainties like low bandwidth, poor network and erratic power in an emerging African market. Consequently, we classified the problem as a stochastic optimization problem and applied metaheuristic search algorithm to determine the best sensitization strategy. Although there are alternative ways of promoting green computing education, the metaheuristic search we conducted indicated that an online real-time solution that not only drives but preserves timely conversations on electronic waste (e-waste) management and energy saving techniques among the citizenry is cutting edge. The authors therefore reviewed literature, gathered requirements, modelled the proposed solution using Universal Modelling Language (UML) and developed a prototype. The proposed solution is a web-based multi-tier e-Green computing system that educates computer users on innovative techniques of managing computers and accessories in an environmentally friendly way. We found out that such a real-time web-based interactive forum does not only stimulate the interest of the common man in environment-related issues, but also raises awareness about the impact his computer-related activities have on mother earth. This way, he willingly becomes part of the solution to environment degradation in his circle of influence."
Article,"Computers are ubiquitous in education,offices, business,communication,and shopping and data storage.They have revolutionized our lives across all dimensions saving our time and effort to do work but these tremendous benefits is not proceeding without issue.It is daunting to see how the widespread use of computers is profoundly affecting our health,depleting our natural resources and polluting our environment.The concept of green computing hence becomes extremely relevant and significant in the present computer age. Green Computing refers to the environmentally sustainable use of computers and related resources right from the stage ofmanufacture,through delivery, use, maintenance, recycling and disposal.The goal of green computing is to design such systems which features reduced use of hazardous material,are energy efficient during the products lifetime and whose defunct products and factory waste can be recycledthus reducing pollution footprint.Such systems will haveno or minimum effect on environment. This paper offers an insight into what green computing is,its origin, its need and implementation, IT companies initiatives towards green computing, examines the awareness of IT usersof four diverse organizations about green technology through a case study/comparative analysis,the findings of this study and finallytheconclusion."
"General Publications (Press, Editorials, Letters)","IT plays an important role in human life and industry in the whole world such as in manufacturing, transporting, medical, tourism and education. However, IT became one of the contributors to the Carbon Dioxide (CO2) emission that cause global warming. To reduce CO2 emissions by IT device, Green IT had been introduced. Green IT is an activity or action that being used and implemented to minimize the harmful of IT devices to the environment. The government of Malaysia had introduced Green IT in Malaysia since 2009. Despite of that, the awareness level of Green IT among Malaysian is still low and empirical study regarding Green IT awareness among academician is still unexplored. This paper study on the awareness regarding Green IT among academicians and administrative staffs in public universities. There were 245 academicians and administrative staffs were involved as respondents. Descriptive statistics had been used in this study. Overall, the finding shows that the level of Green IT awareness among academicians and administrative staffs was at moderate level. Finally, some issues had identified as barriers to the implementation of Green IT in the public universities such as lacking of support from staff, unrealized the existence of Green IT guideline, and lacking of enforcement. Some initiatives should be done to educate people and enhance their awareness about Green IT."
Article,"During recent years, attention in 'Green Computing' has moved the research into energy-saving techniques for home computers to enterprise systems' Client and Server machines. Saving energy or reduction of carbon footprints is one of the aspects of Green Computing. The research in the direction of Green Computing is more than just saving energy and reducing carbon foot prints. In the present paper the authors have made a through study on different issues of green computing in all spheres of the society. An online survey was made on green computing initiatives across the globe and the feedback analyzed and interesting results came out. A further research is necessary to explore green ICT initiatives among common people. The authors also tried to explore the current trends and challenges in green computing and also what will be future trends in green computing."
Article,"This study assesses the current state of adoption and practice of Green Computing among Ghana Tertiary Institutions. The driving force for this investigation includes issues of conducive academic environment and humanity, energy conservation, disposal, and recycling of electronic devices in tertiary institutions. To achieve this, both quantitative and qualitative methods are used to capture data for the findings and analysis. Data were collected from a sample of 200 computer users of faculty members, administrative staffs and students among five selected Universities and Polytechnics Analysis of the study has shed light on the levels of green computing knowledge and practice possessed by computer users. The scenario that emerged from the findings is less than desirable. Given the importance of green computing awareness, knowledge, practice and adoption, it is recommended that academic institutions and government agencies to take the first step in educating the public, regarding the ""underlying principles and practice"" of green computing. The general impression from the study is that, computer users in the selected schools generally have either low levels of green computing habits and practices or none at all. Also, the institutions have made very little effort to accept the practice in their schools. This is as a result of the facts that, the awareness of Green IT in most institutions and the practices among individuals are not in place; hence a lot of people are ignorant about this new development of technology."
Article,"Green computing refers to supporting business critical computing needs with least possible amount of power or sustainable computing. This is a new paradigm of designing the computer system which considers not only the processing performance but also the energy efficiency. In broader terms, it is also defined as the study of designing, engineering, manufacturing, using and disposing of computing devices in a way that reduces their environmental impact. Green computing aims to attain economic viability and improve the way computing devices are used.In this paper we discuss the steps to utilize the concepts of green computing and show the requirement of green computing with techniques to save the energy by different approaches."
Article,"Since the inception of information technology, it has been on record on how the information technology has contributed positive as well as negatively into the life of individuals as well as in the development of mankind. IT is one field that has transformed human beings both on the way we think and act in our institutions. It has brought a lot of changes such as helping individuals to get their work done faster and it has brought the world together etc. This research work “impact of green computing in higher institutions” will be dealing on how green computing can help institutions to save energy consumption, with the help IT. The green computing is a technology which is based on the environmental use of computer related resources such as processing unit, storage units etc. The energy consumption is the main concern and Green computing will lead to reduction in energy consumption and e-waste. This will also include cloud computing services. It will also highlight on the importance of green computing and why schools should introduce green computing so as to save our environment and how to achieve green computing via cloud computing. It will also describe the main interaction with green computing of power energy in schools which is an interesting topic this day because it can make us greener and is meant for the development of sustainable economy. It includes a survey questionnaire which takes all the major factors into consideration."
Article,"Awareness of constructing a society that adopts practices aiming at sustaining the environment is essential. This research focuses on issues related to Green ICT practices by students of Egyptian HEIs. Students should be trained and motivated to adopt Green ICT practices, this will aid in saving costs and sustaining the environment. Green ICT practices were investigated using a self-reported questionnaire. The investigated four practices are green search engine, power management, e-mail, and e-learning tools. Analysis involved calculation of frequencies using descriptive statistics. Simple random cluster sampling was used for the selection of the participating HEIs in Egypt. The population of the study was students in the selected HEIs registered in February 2015 semester. Research revealed that the majority of the students practice Green ICT in their routine daily lives, which shows a positive trend among HEI' students to support greenness. Most of the participating students practice Green ICT via the use of e-mail, e-learning and green search engine. The lowest participation was in the practice of power management; however, power management approaches are not popular among the participating students due to lack of awareness."
Article,"Computers today are an essential part of individuals’ lives all around the world; however, these tools are extremely toxic to the environment given the materials used, limited battery life and technological obsolescence. The US and the EU’s policies regarding this and other e-waste differ with greater support for the Basel Convention among Europeans. Although computer manufacturers are working to build “green” computers, a large part of limiting such hazardous wastes rests with consumers when purchasing them. Hence, the purpose of the study was to determine if information presented to consumers would influence their attitudes regarding green computing and purchases. A self-administered questionnaire was developed to determine consumers’ attitudes toward the environment, attitudes toward green computing, and demographic characteristics. It was hypothesized that there would be no differences in consumers’ attitudes before or after reading the information on computer toxicity. A convenience sample of students enrolled in marketing courses at a southwestern university, were surveyed. Results of Paired T-tests revealed significant differences for 13 of the 15 statements at the p < .05 level. Respondents mean scores increased significantly suggesting stronger agreement with the statements after reading the information. Implications were then discussed."
Article,"Green ICT: A Study of Awareness, Attitude and Adoption among IT/Computer Engineering Students of LDRP-ITR, Gandhinagar"
Article,Green Computing: Current Research Trends
Article,STUDY ON BENEFITS OF GREEN COMPUTING
Article,Green Computing: - Emerging Issue in IT
Article,THE RISING ERA OF GREEN COMPUTING
Article,Assessing University Students’ Attitude toward Green Computing Practices
Article,Relative Study of Students Awareness & Usage of Green Computing with respect to Gender
Article,THE STATE OF GREEN COMPUTING KNOWLEDGE AMONG STUDENTS IN A MALAYSIAN PUBLIC UNIVERSITY
Article,"Environmental Knowledge, Awareness, and Business School Students’ Intentions to Purchase Green Vehicles in Emerging Countries"
Article,The Impact of Environment Concern and Attitude on Green Purchasing Behavior: Gender as The Moderator
Article,Factors Affecting Green Purchase Behaviour and Future Research Directions
Article,Investigating the Antecedents to Teaching Green Information Technology (Green IT): A Survey of Student Teachers in Swaziland
Article,University Students’ Subjective Knowledge of Green Computing and Pro-Environmental Behavior
Article,Intended Belief and Actual Behavior in Green Computing in Hong Kong
Article,IT Professionals Awareness: Green IT International Comparison Study
Article,Measuring Attitudes towards ‘Green’ Purchases: A Study of University Students in Kyrgyzstan
Article,"THE LEVEL OF ENVIRONMENTAL KNOWLEDGE, AWARENESS, ATTITUDES AND PRACTICES AMONG UKM STUDENTS"
Article,Sustainable Consumption and the Attitude-Behaviour-Gap Phenomenon - Causes and Measurements towards a Sustainable Development
Article,Determining Factors of Attitude towards Green Purchase Behavior of FMCG Products
Article,DEVELOPING GUIDELINES FOR GREEN INFORMATION AND COMMUNICATION TECHNOLOGY
Article,AN ARCHIVAL ANALYSIS OF GREEN INFORMATION TECHNOLOGY: THE CURRENT STATE AND FUTURE DIRECTIONS
Article,GREEN COMPUTING: LATEST PRACTICES AND TECHNOLOGIES FOR ICT SUSTAINABILITY
Article,GREEN INFORMATION TECHNOLOGY (GIT) AND GENDER DIVERSITY
Article,Green IT Attitude and Behaviour in Higher Education Institution: A Gender Perspective
Article,GREEN INFORMATION TECHNOLOGY METRICS FOR SUSTAINABILITY
Article,Green Computing and Sustainability
Article,GREEN ICT (INFORMATION AND COMMUNICATION TECHNOLOGIES): A REVIEW OF ACADEMIC AND PRACTITIONER PERSPECTIVES
Article,Green computing: Awareness and practices
Article,"Green Computing: The Overview of Awareness, Practices and Responsibility Among Students in Higher Education Institutes"
Article,Green Computing an approach towards a healthier environment
Article,E-waste Reduction via Virtualization in Green Computing
